gsis_id,pff_id
00-0020463,840
00-0020474,841
00-0020506,842
00-0020507,843
00-0020385,845
00-0020448,846
00-0020475,848
00-0020449,849
00-0020450,852
00-0020347,854
00-0020329,855
00-0020260,856
00-0020407,857
00-0020278,858
00-0020360,859
00-0020434,861
00-0020478,862
00-0020480,863
00-0020368,864
00-0020508,865
00-0020399,867
00-0020270,869
00-0020297,871
00-0020381,872
00-0020304,874
00-0020348,875
00-0020342,876
00-0020420,880
00-0020409,884
00-0020354,885
00-0020255,886
00-0020268,887
00-0020315,889
00-0020389,890
00-0020305,893
00-0020451,895
00-0020452,901
00-0020401,903
00-0020391,904
00-0020376,905
00-0020299,906
00-0020392,908
00-0020422,909
00-0020256,913
00-0020327,915
00-0020332,916
00-0020344,918
00-0020301,919
00-0020438,921
00-0020355,922
00-0020262,926
00-0020333,927
00-0020369,928
00-0020455,929
00-0020412,931
00-0020280,933
00-0020402,934
00-0020414,935
00-0019995,938
00-0020110,940
00-0019976,941
00-0019794,945
00-0019997,946
00-0020143,949
00-0019852,950
00-0019809,952
00-0020055,953
00-0019905,954
00-0019831,956
00-0019733,957
00-0019816,958
00-0019940,961
00-0019993,966
00-0020184,969
00-0020457,972
00-0019932,974
00-0020006,975
00-0019776,976
00-0019863,979
00-0020187,981
00-0020199,983
00-0020202,985
00-0020138,986
00-0020022,987
00-0020107,989
00-0020139,990
00-0019986,995
00-0019954,998
00-0020024,999
00-0019808,1001
00-0020127,1002
00-0019919,1003
00-0020025,1008
00-0020608,1009
00-0021140,1010
00-0021141,1011
00-0021142,1012
00-0021381,1013
00-0021382,1014
00-0021383,1015
00-0021143,1016
00-0021144,1017
00-0021145,1018
00-0021146,1019
00-0021147,1020
00-0021148,1021
00-0021149,1022
00-0021151,1024
00-0021376,1025
00-0021152,1026
00-0021153,1027
00-0021154,1028
00-0021081,1029
00-0021155,1030
00-0021377,1031
00-0021156,1032
00-0021157,1033
00-0021158,1034
00-0021159,1035
00-0021160,1036
00-0021161,1037
00-0021162,1038
00-0021379,1039
00-0021163,1040
00-0021164,1041
00-0021165,1042
00-0021166,1043
00-0021385,1044
00-0021167,1045
00-0021168,1046
00-0021170,1048
00-0021171,1049
00-0021173,1052
00-0021174,1053
00-0021175,1054
00-0021176,1055
00-0021178,1057
00-0021179,1058
00-0021180,1059
00-0021181,1060
00-0021182,1061
00-0021183,1062
00-0021184,1063
00-0021187,1064
00-0021185,1065
00-0021186,1066
00-0021189,1068
00-0021190,1069
00-0021191,1070
00-0021083,1071
00-0021192,1072
00-0021193,1073
00-0021084,1074
00-0021194,1075
00-0021197,1078
00-0021085,1079
00-0021201,1081
00-0021206,1085
00-0021209,1088
00-0021212,1090
00-0021213,1091
00-0021214,1092
00-0021215,1093
00-0021216,1094
00-0021218,1096
00-0021219,1097
00-0021222,1099
00-0021224,1101
00-0021225,1102
00-0021227,1104
00-0021228,1105
00-0021229,1106
00-0021230,1107
00-0021231,1109
00-0021234,1112
00-0021236,1114
00-0021237,1115
00-0021244,1124
00-0021246,1126
00-0021387,1127
00-0021248,1128
00-0021250,1129
00-0021252,1131
00-0021255,1133
00-0021092,1134
00-0021257,1136
00-0021259,1137
00-0021260,1138
00-0021261,1139
00-0021262,1140
00-0021265,1144
00-0021267,1146
00-0021269,1148
00-0021270,1149
00-0021273,1151
00-0021274,1152
00-0021277,1154
00-0021279,1156
00-0021282,1157
00-0021285,1160
00-0021286,1161
00-0021292,1165
00-0021096,1166
00-0021098,1168
00-0021296,1169
00-0021297,1170
00-0021099,1173
00-0021100,1174
00-0021304,1176
00-0021306,1177
00-0021309,1179
00-0021310,1180
00-0021314,1182
00-0021316,1183
00-0021317,1184
00-0021321,1185
00-0021326,1189
00-0021332,1196
00-0021337,1199
00-0021340,1200
00-0021341,1201
00-0021344,1204
00-0021106,1206
00-0021348,1208
00-0021352,1209
00-0021353,1210
00-0021357,1211
00-0021126,1214
00-0021371,1216
00-0020985,1219
00-0021394,1222
00-0020578,1223
00-0020971,1227
00-0020840,1229
00-0020972,1230
00-0020974,1232
00-0020861,1233
00-0020550,1236
00-0020692,1237
00-0020964,1241
00-0020824,1245
00-0020613,1247
00-0021131,1248
00-0020712,1251
00-0020571,1252
00-0020797,1253
00-0020801,1254
00-0020679,1255
00-0021033,1258
00-0020617,1259
00-0021129,1261
00-0020836,1266
00-0020867,1267
00-0020697,1270
00-0020565,1271
00-0020735,1272
00-0020995,1273
00-0020804,1278
00-0020805,1279
00-0020664,1283
00-0020969,1284
00-0020747,1288
00-0020904,1292
00-0020653,1294
00-0020873,1303
00-0020794,1304
00-0020749,1305
00-0021041,1313
00-0020961,1314
00-0021064,1315
00-0021429,1317
00-0022044,1319
00-0021988,1320
00-0022045,1321
00-0022177,1323
00-0022117,1324
00-0022073,1325
00-0022161,1326
00-0022046,1327
00-0022155,1328
00-0021989,1329
00-0022163,1331
00-0022119,1332
00-0022156,1333
00-0022120,1334
00-0022164,1335
00-0022074,1336
00-0022157,1337
00-0022121,1338
00-0022178,1339
00-0022165,1340
00-0022173,1341
00-0022075,1342
00-0021976,1343
00-0022076,1344
00-0021990,1345
00-0021991,1346
00-0022077,1347
00-0022047,1348
00-0022122,1349
00-0022048,1350
00-0022123,1351
00-0021992,1352
00-0022078,1353
00-0022079,1354
00-0022080,1355
00-0022081,1356
00-0022082,1357
00-0022049,1358
00-0022050,1359
00-0022124,1360
00-0021993,1361
00-0021994,1362
00-0021970,1363
00-0021995,1364
00-0022166,1367
00-0021996,1368
00-0022084,1369
00-0021951,1370
00-0021977,1371
00-0022085,1372
00-0022162,1373
00-0022126,1376
00-0022088,1377
